"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","fft_fpts","numfire_fpts","mean","risk","Ceiling","Floor","Tier","rank"
"Josh Robinson",5.67,3.3,4,3.1,NA,3.31,3.9,1.1,5,2.8,2,57
"Mike Tolbert",4,3.5,NA,NA,NA,NA,3.8,0.4,4.2,3.4,3,58
"Lorenzo Taliaferro",5.2,NA,4,2,NA,NA,3.7,1.6,5.3,2.1,1,59
"Damien Williams",4.06,3.1,NA,NA,NA,NA,3.6,0.7,4.3,2.9,2,60
"Javorius Allen",2.23,NA,NA,4.5,NA,4.07,3.6,1.2,4.8,2.4,2,61
"Branden Oliver",2.39,NA,4,NA,NA,NA,3.2,1.1,4.3,2.1,1,62
"Toby Gerhart",2.87,NA,4,2,NA,3.13,3,0.8,3.8,2.2,1,63
"Chris Polk",2.76,NA,3,NA,NA,NA,2.9,0.2,3.1,2.7,2,64
"Jacquizz Rodgers",3.43,NA,3,2.1,NA,NA,2.8,0.7,3.5,2.1,1,65
"Terron Ward",2.17,3.3,3,NA,NA,2.09,2.6,0.6,3.2,2,1,66
"Austin Johnson",2.37,NA,NA,2.3,NA,NA,2.3,0,2.3,2.3,2,67
