"name","cbs_team","cbs_recpts","cbs_yd","cbs_avg","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","fftoday_team","fft_recpts","fft_yd","fft_td","fft_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts"
"Ryan Grant","WAS",2.6,34.7,13.6,0.1,0,4.07," WSH",3.2,44.1,0.2,5.4,"WAS",3,35,0,3.5,"WAS",2.07,26,0.04,3
"Sammy Watkins","BUF",1.3,19.2,14.4,0.1,0.1,2.32," BUF",4.3,60,0.3,7.9,"BUF",5,55,1,11.5,"BUF",3.87,57,0.37,6
"Stedman Bailey","STL",3,45.9,15.5,0.1,0,5.19," STL",2.7,35,0.2,4.1,"STL",3,40,0,4,"STL",2.92,42,0.04,5
"Steve Johnson","SD",4.2,46.4,11.2,0.4,0,7.04," SD ",4.3,57.2,0.3,6.9,"SD",6,75,1,13.5,"SDC",3.09,37,0.42,4
"Steve Smith Sr.","BAL",5.4,67.6,12.5,0.4,0.1,8.96," BAL",4.8,64.8,0.4,8.2,"BAL",6,75,1,13.5,"BAL",5.06,67,0.29,7
"T.Y. Hilton","IND",5.6,81.4,14.5,0.3,0,9.94," IND",4.6,62.6,0.4,8.6,"IND",5,75,1,13.5,"IND",5.44,81,0.26,8
"Tavon Austin","STL",3.1,27.1,8.8,0.1,0,3.31," STL",2.5,27.1,0.2,5.8,"STL",4,40,0,4,"STL",2.26,18,0.02,3
"Taylor Gabriel","CLE",2.5,36.3,14.8,0.1,0,4.23," CLE",0.9,12.7,0.1,1.4,"CLE",2,20,0,2,"CLE",1.82,26,0.04,3
"Ted Ginn","CAR",3.5,56.2,15.8,0.4,0.2,7.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Terrance Williams","DAL",3.3,63.9,19.1,0.6,0,9.99," DAL",3.5,51.4,0.3,7.1,"DAL",6,65,1,12.5,"DAL",3.5,61,0.89,12
"Torrey Smith","SF",2.3,33.6,14.6,0.3,0,5.16," SF ",3.2,53.1,0.2,6.2,"SF",4,55,0,5.5,"SFO",3.14,51,0.56,11
"Travis Benjamin","CLE",2.2,51.4,23.5,0.7,0.1,9.14," CLE",2.7,41.7,0.2,5.7,"CLE",5,60,1,12,"CLE",1.19,22,0.18,2
"Ty Montgomery","GB",1.3,20.4,15.5,0.2,0,3.24," GB ",0.8,10.8,0.1,1.6,"GB",2,30,0,3,"GBP",1.08,10,0,1
"Tyler Lockett","SEA",1.6,23.3,14.6,0.2,0,3.53," SEA",2.1,28.9,0.2,3.4,"SEA",3,30,0,3,"SEA",2.26,21,0.02,2
"Vincent Jackson","TB",4.2,61.4,14.7,0.2,0.1,7.14," TB ",3.9,59.5,0.3,6.7,"TB",5,75,1,13.5,"TBB",4.27,63,0.31,6
