"name","cbs_team","cbs_recpts","cbs_yd","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"Martavis Bryant","PIT",1.7,30.3,0.4,0,7.14," PIT",2.8,42.7,0.3,8.7,"PIT",1.77,30,0.26,4.77,"PIT",0.1,0.5,0,2.6,39.4,0.3,"0.0",8.5,"PIT","37",0.02,-0.1,0,3.34,49.49,0.28,9.94
"Marvin Jones","CIN",3.1,39.5,0.3,0,8.83," CIN",3.4,45.4,0.2,8.9,"CIN",2.56,36,0.32,6.56,"CIN",0.2,1.1,0,3.3,44.9,0.3,"0.0",9.7,"CIN","41",0.15,0.82,0,3.1,44.17,0.27,9.12
"Michael Floyd","ARI",3.2,48,0.2,0,9.16," ARI",3,42.1,0.3,8.9,"ARI",2.14,32,0.15,5.14,"ARI",0,0,0,2.7,39.6,0.2,"0.0",8,"ARI","70",0.01,0.04,0,1.64,23.12,0.1,4.54
"Mike Wallace","MIN",4,57.1,0.5,0,12.66," MIN",3.7,56.4,0.3,10.4,"MIN",4.26,54,0.35,10.26,"MIN",0,0.1,0,3.8,54.5,0.3,"0.0",11.1,"MIN","38",0.03,0.27,0,3.76,50.1,0.14,9.7
"Miles Austin","PHI",1.6,22.2,0.2,0,5.02," PHI",1.7,19.5,0.1,3.6,"PHI",1.33,21,0.14,3.33,"PHI",0,0,0,1.2,15.6,0.1,"0.0",3.4,"PHI","89",0,0,0,1.28,15.67,0.11,3.53
"Mohamed Sanu","CIN",2.9,36.9,0.1,0,7.2," CIN",2.7,31.5,0.2,7,"CIN",3.16,48,0.14,8.16,"CIN",0.2,1,0,2.6,33.2,0.2,"0.0",6.9,"CIN","58",0.02,0.15,0,2.07,29.54,0.11,5.7
"Nate Washington","HOU",3.1,41.7,0.1,0,7.9,NA,NA,NA,NA,NA,"HOU",2.2,32,0.05,5.2,"HOU",0,0,0,2.9,40.2,0.2,"0.0",8.1,"HOU","43",0,0,0,2.64,38.5,0.28,8.16
"Nelson Agholor","PHI",2,31.6,0.2,0.1,6.19,NA,NA,NA,NA,NA,"PHI",1.85,26,0.07,4.85,"PHI",0,0,0,2.5,33.7,0.2,"0.1",7.2,"PHI","53",0,0,0,2.31,32.85,0.26,7.16
"Odell Beckham","NYG",5.5,74.2,0.5,0.1,15.72," NYG",7.4,97.5,0.4,18.8,"NYG",5.81,81,0.62,19.81,"NYG",0.3,2,0,6.1,85,0.5,"0.1",17.9,"NYG","6",0.14,0.63,0,5.48,81.24,0.54,16.75
"Percy Harvin","BUF",3.7,35.3,0.2,0.1,8.25," BUF",3.7,41.6,0.2,9.1,"BUF",3.53,43,0.19,8.53,"BUF",0.8,4.6,0,3.6,38.7,0.2,"0.1",9.1,"BUF","44",0.25,1.02,0,3.37,36.72,0.17,8.14
"Phillip Dorsett","IND",1.9,30.1,0.2,0.1,5.93," IND",1.7,24.6,0.2,4.9,"IND",1.16,16,0.1,3.16,"IND",0.1,0.7,0,1.8,25.1,0.1,"0.1",5.1,"IND","92",0.05,0.58,0,1.42,19.35,0.02,3.47
"Pierre Garcon","WAS",4.7,52.2,0.3,0,11.76," WSH",4.7,59.5,0.2,10.7,"WAS",3.92,46,0.27,8.92,"WAS",0,0,0,4.7,55.5,0.3,"0.0",11.9,"WSH","35",0,0,0,4.39,47.71,0.21,10.38
"Quinton Patton","SF",1.4,15.4,0.1,0.1,3.32," SF ",1.7,19.3,0.1,3.1,"SFO",1.86,21,0.01,3.86," SF",0.1,1,0,1.2,15,0.1,"0.1",3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Randall Cobb","GB",5.8,76.4,0.8,0.1,18.04," GB ",5.9,79.7,0.7,17.1,"GB",4.29,56,0.59,16.29," GB",0.4,2,0,5.8,80.1,0.7,"0.1",17.9,"GB","3",0.2,0.51,0,6.35,89.23,0.67,19.3
"Riley Cooper","PHI",1.5,23.1,0.2,0,5," PHI",2.2,29.1,0.2,5.6,"PHI",3.25,37,0.24,7.25,"PHI",0,0,0,1.9,25.7,0.2,"0.0",5.7,"PHI","56",0,0,0,2.02,28.65,0.19,6.03
"Rishard Matthews","MIA",2.5,33.6,0.4,0,8.31," MIA",3.7,43.3,0.3,9.5,"MIA",2.27,36,0.37,6.27,"MIA",0,0,0,3,38.8,0.3,"0.0",8.7,"MIA","52",0.03,0.03,0,2.54,36.3,0.18,7.25
"Robert Woods","BUF",2.8,31.5,0.2,0.2,6.78," BUF",2,26.2,0.1,4.8,"BUF",3.4,37,0.19,7.4,"BUF",0,0,0,2.5,30.3,0.1,"0.1",6.2,"BUF","61",0,0,0,2.25,26.63,0.09,5.43
"Roddy White","ATL",3.7,50.1,0.2,0.1,9.71," ATL",2.7,33.5,0.2,7,"ATL",4.15,49,0.24,9.15,"ATL",0,0,0,2.9,38.2,0.2,"0.1",7.9,"ATL","49",0,0,0,2.61,35.97,0.25,7.65
