"playerId","playername","position","team","vor","points","actualPoints","overallRank","positionRank","dropoff","auctionValue","upper","lower","risk","sleeper"
2505354,"Tony Romo","QB","DAL",-4.423,369.75,"367.05",91,14,"21.3725",1,392.8081,321.6066,"4.1728","16"
100030,"Seahawks","DST","SEA",-6,554.7287,"546",92,1,"86.2646",1,578.8563,430,"5.4461","null"
2495826,"Vernon Davis","TE","SF",-7.1165,213.4413,"75.2",93,8,"4.0439",1,246.636,140.928,"6.9907","9"
2495831,"Maurice Jones-Drew","RB","OAK",-8.4314,197.5213,"18.2",94,32,"5.5442",1,224.0768,165.9325,"3.4968","46"
2505587,"Anquan Boldin","WR","SF",-10.2459,218.2461,"272.3",95,40,"4.3586",1,237.2945,193.5048,"4.1724","57"
497254,"Dennis Pitta","TE","BAL",-10.8526,209.7051,"34.75",96,9,"4.9266",1,241.8657,90.0507,"13.369","1"
2495438,"Kyle Rudolph","TE","MIN",-11.4681,209.0896,"70.65",97,10,"13.5979",1,236.6035,182.2108,"2.9591","49"
2533032,"Trent Richardson","RB","IND",-11.4819,194.4709,"112.8",98,33,"7.9803",1,222.3393,139.5149,"3.5296","45"
2543471,"Kelvin Benjamin","WR","CAR",-13.5575,214.9345,"275.2",99,41,"2.7132",1,245.1216,178.0174,"3.0973","109"
2533533,"Rueben Randle","WR","NYG",-15.6515,212.8405,"229.7",100,42,"2.2691",1,237.1194,178.8321,"4.2687","52"
79619,"Knowshon Moreno","RB","MIA",-16.4693,189.4835,"29.35",101,34,"7.2463",1,244.4515,80.5254,"7.8595","8"
2540165,"DeAndre Hopkins","WR","HOU",-16.89,211.602,"290.5",102,43,"4.5706",1,233.6951,190.897,"4.5581","47"
2506922,"Stephen Gostkowski","K","NE",-18,123.1769,"121.75",103,1,"4.4396",1,134.3673,107.7386,"3.3354","null"
2495867,"Greg Jennings","WR","MIN",-18.9512,209.5408,"206.3",104,44,"5.3948",1,245.5403,170.6619,"3.0959","110"
1062,"Martellus Bennett","TE","CHI",-20.0904,200.4674,"263.4",105,11,"10.8411",1,213.5675,174.7806,"4.0128","28"
2495824,"Jay Cutler","QB","CHI",-21.2144,352.9585,"290",106,15,"20.8797",1,397.7335,257.7753,"3.326","28"
2495259,"Dan Bailey","K","DAL",-22.3576,118.8193,"117",107,2,"0.2239",1,124.2902,111.1564,"4.1574","null"
2505936,"Steven Jackson","RB","ATL",-22.455,183.4977,"147.8",108,35,"3.8392",1,221.0768,99.5738,"4.8506","30"
2500351,"Phil Dawson","K","SF",-22.5216,118.6552,"99.25",109,3,"1.8844",1,124.8716,113.8042,"4.3399","null"
2536340,"Justin Tucker","K","BAL",-22.6414,118.5355,"105.75",110,4,"5.076",1,124.1581,110.1975,"4.0528","null"
2543498,"Brandin Cooks","WR","NO",-23.9701,204.5219,"155.85",111,45,"2.1772",1,247.3319,98.8673,"6.5092","12"
