"playerId","playername","position","team","vor","points","actualPoints","overallECR","overallRank","positionRank","cost","dropoff","adp","adpdiff","auctionValue","upper","lower","risk","sleeper"
497226,"Jim Dray","TE","CLE",-160.5674,38.4,"null","null",392,63,"null","1.3113","null","null",0,69.6712,5.15,"3.7794","null"
496812,"Erik Lorig","RB","NO",-160.8297,21.0589,"null","null",393,133,"null","0.2726","null","null",0,39.0349,-0.2,"3.3407","null"
2508101,"James Develin","RB","NE",-160.8608,21.0277,"null","null",394,134,"null","0.5603","36","-368",0,30.9717,4.5401,"4.048","null"
2495241,"Daniel Thomas","RB","CHI",-161.3437,20.5449,"null","null",395,135,"null","0.6941","null","null",0.25,38.6137,0,"3.1327","null"
1060,"Gary Barnidge","TE","CLE",-161.3974,37.57,"null","null",396,64,"null","1.3444","445","39",0.5,46.4476,7.25,"4.9598","null"
2543690,"Marion Grice","RB","ARI",-161.4986,20.3899,"null","null",397,136,"null","1.3112","202","-205",0.25,41.8331,0,"2.9085","null"
2543596,"Dri Archer","WR","PIT",-161.7875,68.34,"null","null",398,122,"null","1.5493","227.05","-180.95",0.6667,76.1472,27.3465,"1.5125","null"
1966,"John Carlson","TE","FA",-162.3599,36.6074,"null","null",399,65,"null","1.3351","null","null",0.5,63.5094,0,"12.3089","null"
2535696,"Joe Banyard","RB","MIN",-162.577,19.3116,"null","null",400,137,"null","0.6066","453","43",0.3333,36.5974,0,"6.0051","null"
2552415,"Jamison Crowder","WR","WAS",-162.8663,67.2612,"null","null",401,123,"null","1.1478","121.33","-289.67",0.5,92.1484,23.2038,"2.8672","77"
2552464,"Jalston Fowler","RB","TEN",-163.0427,18.8458,"null","null",402,138,"null","0.2882","168.5","-243.5",0.25,35.4311,-1.8268,"3.7053","null"
2532835,"Rhett Ellison","TE","MIN",-163.1237,35.8437,"null","null",403,66,"null","1.1872","null","null",0,62.3888,9.2923,"2.863","null"
230,"Jerome Felton","RB","BUF",-163.3243,18.5642,"null","null",404,139,"null","0.548","null","null",0.5,31.6403,-1.8497,"4.0931","null"
2553797,"Michael Dyer","RB","OAK",-163.3375,18.551,"null","null",405,140,"null","1.2115","147.36","-267.64",0.25,28.8778,-1.2082,"1.9351","null"
497312,"Preston Parker","WR","NYG",-163.8073,66.3202,"null","null",406,124,"null","0.5066","null","null",1,116.5718,0,"8.6379","5"
2505076,"Josh McCown","QB","CLE",-164.2059,159.0323,"null","258",407,29,"null","12.9684","189.03","-227.97",1,210.8977,18.5091,"4.8522","6"
2531049,"Chris Matthews","WR","SEA",-164.221,65.9065,"null","null",408,125,"null","0.6466","200.84","-217.16",1,81.2864,7.8786,"5.6124","22"
2539327,"Joseph Fauria","TE","DET",-164.2663,34.7011,"null","null",409,67,"null","0.5619","184.8","-234.2",0,51.5568,7.19,"2.353","null"
2534244,"Chase Ford","TE","MIN",-164.3555,34.6118,"null","null",410,68,"null","1.3733","null","null",0.25,87.4294,5.225,"7.78","3"
2540261,"Corey Fuller","WR","DET",-164.407,65.7205,"null","null",411,126,"null","1.6753","142.67","-278.33",0.5,88.8071,18.2591,"1.8246","104"
2540225,"Tommy Bohanon","RB","NYJ",-164.4071,17.4814,"null","null",412,141,"null","0.3044","null","null",0.3333,33.7289,-0.2765,"4.8887","null"
