"name","cbs_team","cbs_rushatt","cbs_rushyd","cbs_rushtd","cbs_recpts","cbs_recyd","cbs_rectd","cbs_fl","cbs_fpts","espn_team","espn_rushatt","espn_rushyd","espn_rushtd","espn_recpts","espn_recyd","espn_rectd","espn_fpts","ffs_team","ffs_rushatt","ffs_rushyd","ffs_rushtd","ffs_recpts","ffs_recyd","ffs_rectd","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"Chris Johnson","ARI",14.3,52.4,0.3,2.6,26.3,0.1,0.1,12.69," ARI",16.2,69.5,0.4,1,8.3,0,9.4,"ARI",12.11,53,0.23,1.05,9,0.01,8.05,"ARI",14.1,56.5,0.5,1.7,14.2,0.1,"0.1",11.7,"ARI","17",13.83,47.98,0.28,2.98,22.27,0.11,12.15
"Danny Woodhead","SD",5.5,23.2,0.2,2.9,25.1,0.1,0.1,9.32," SD ",7.7,35,0.2,3.4,31.4,0.2,11.7,"SD",6.59,26,0.22,2.94,29,0.06,11.94," SD",8.7,34.1,0.2,3.7,31.8,0.1,"0.1",12.2,"SD","11",11.71,43.95,0.26,2.88,29.64,0.18,12.64
"Darren McFadden","DAL",6.4,30.2,0.2,1,8.4,0,0.1,5.858," DAL",7.4,31.1,0.2,0.5,3.8,0,4.7,"DAL",7.72,29,0.19,1.27,11,0,6.27,"DAL",7.5,32.1,0.2,1.8,14.4,0,"0.1",7.3,"DAL","38",8.06,35.43,0.18,2.09,14.65,0.03,8.26
"Darren Sproles","PHI",5.1,20.2,0.3,3.8,33.9,0.1,0.1,11.36," PHI",3.8,15.7,0.1,3.8,31,0.1,9.1,"PHI",4.13,18,0.29,2.63,21,0,9.63,"PHI",5.3,25.3,0.2,3.3,29.8,0.3,"0.1",11.6,"PHI","24",6.62,37.68,0.29,3.03,27.29,0.03,11.45
"David Johnson","ARI",6.3,23.4,0.2,2.2,22.5,0.1,0.1,8.39," ARI",4.5,20.3,0.2,2.6,21,0.1,8.3,"ARI",2.81,15,0.17,1.54,22,0.31,7.54,"ARI",3.5,14.6,0.1,1.6,15,0.1,"0.1",5.6,"ARI","55",3.08,11.72,0.11,1.42,11.73,0.06,4.76
"DeAngelo Williams","PIT",4.6,14.4,0.2,0.4,2.7,0,0.1,3.072," PIT",4.5,20,0.1,0.5,3.7,0,3.1,"PIT",9.51,42,0.41,1.4,10,0,7.4,"PIT",4.5,19.6,0.1,0.5,3.4,0,"0.1",3.1,"PIT","42",8.53,31.54,0.22,1.79,11.19,0.02,7.32
"DeMarco Murray","PHI",9.9,42.1,0.5,2.5,18.7,0.1,0.3,11.62," PHI",12.7,52.5,0.5,2,15.6,0.1,11,"PHI",18.22,73,0.53,3.1,23,0.21,22.1,"PHI",12.9,55.9,0.4,2.3,18.9,0.1,"0.2",12.6,"PHI","18",11.74,53.15,0.32,2.61,21.4,0.05,12.13
"Devonta Freeman","ATL",12.4,50.9,0.7,3.5,31.2,0.1,0.1,16.34," ATL",19.9,81.4,0.7,3.8,34.8,0.1,19.8,"ATL",11.37,45,0.95,3.15,33,0.03,20.15,"ATL",15.4,63.6,0.7,4,36.2,0.1,"0.1",18.7,"ATL","4",12.84,54.43,0.26,4.57,38.75,0.13,16
"Doug Martin","TB",14,56,0.3,1.2,6.2,0,0.2,8.83," TB ",15.6,57.9,0.3,1.5,12.2,0,9.2,"TB",16.01,66,0.23,1.94,13,0,11.94," TB",16.2,62.4,0.5,1.8,13.5,0,"0.2",12.2,"TB","12",16.56,63.67,0.32,2.53,18.93,0.04,12.59
"Eddie Lacy","GB",15.5,69.3,0.5,2.5,24.3,0.1,0.1,15.26," GB ",19.3,83.4,0.6,2.7,19.2,0.2,15.8,"GB",11.76,53,0.35,1.57,15,0.07,10.57," GB",16.9,76.3,0.6,2.5,21,0.1,"0.1",15.9,"GB","6",14.83,65.47,0.3,3.06,28.45,0.02,14.33
"Frank Gore","IND",13.6,50.8,0.4,1.2,8.4,0.1,0.2,9.74," IND",19,75.6,0.5,2.1,17.1,0.1,13.4,"IND",11.13,47,0.31,1.49,9,0.04,8.49,"IND",15.1,59.5,0.5,1.8,13.7,0,"0.2",12.1,"IND","23",12.69,46.8,0.36,2.48,18.13,0.09,11.55
"Fred Jackson","SEA",4.7,18.4,0.2,1.3,12.5,0.1,0.1,6.01," SEA",3.8,15.3,0.1,1.7,13.9,0.1,4.9,"SEA",7.96,36,0.14,2.15,18,0.11,9.15,"SEA",4.1,19.7,0.1,1.6,13.2,0.1,"0.1",5.9,"SEA","49",2.78,13.16,0.14,1.94,14.37,0.05,5.85
"Giovani Bernard","CIN",12,62.2,0.3,3.3,26.2,0.1,0.1,14.32," CIN",9.9,41.5,0.3,3.3,25.7,0.1,11.9,"CIN",11.07,52,0.27,2.62,18,0.04,12.62,"CIN",11,43,0.3,2.9,21.1,0.1,"0.1",11.2,"CIN","26",11.83,43.39,0.34,2.83,18.03,0.07,11.07
"Isaiah Crowell","CLE",11.9,58.5,0.3,1.3,10.5,0,0.1,9.77," CLE",14.5,65.9,0.4,0.7,5.8,0,9,"CLE",9.52,37,0.34,0.87,11,0.01,6.87,"CLE",12.8,49.4,0.3,1.3,12.6,0,"0.1",8.9,"CLE","30",10.84,43.83,0.36,1.85,16.43,0.06,10.04
"James Starks","GB",7.4,30.7,0.1,1.2,8.9,0.1,0.1,6.18," GB ",4.9,20.8,0.1,1,7.7,0.1,3.8,"GB",5.28,20,0.05,0.86,6,0.02,4.86," GB",6.8,27.9,0.1,1.3,10.4,0,"0.1",6.1,"GB","44",7.91,28.88,0.23,1.73,12.11,0,7.09
"Jeremy Hill","CIN",14.4,70.2,0.7,1.2,9.6,0.1,0.3,13.36," CIN",16,70.1,0.6,0.9,6.7,0,11.3,"CIN",9.3,38,0.58,1.04,7,0.03,13.04,"CIN",12.6,49.6,0.4,1.2,8.5,0,"0.3",8.7,"CIN","13",13.06,53.81,0.28,2.81,23.12,0.04,12.43
"Joseph Randle","DAL",15.3,82.3,0.5,1.5,13.6,0.1,0.1,14.47," DAL",17.6,82.2,0.5,1.3,10.6,0,12.9,"DAL",16.57,76,1.01,1.91,17,0.01,18.91,"DAL",14.3,60.6,0.6,1.7,13.7,0,"0.1",12.5,"DAL","16",15.51,66.48,0.42,1.66,12.69,0.04,12.16
"Josh Robinson","IND",7,27,0.2,1.9,13.7,0.1,0.1,7.56," IND",6.1,24.7,0.2,1.1,8.9,0,4.4,"IND",5.03,16,0.05,1.35,9,0.03,5.35,"IND",4.6,18.4,0.1,1.1,7.6,0,"0.1",4.2,"IND","54",4.56,17.32,0.09,1.48,9.76,0.02,4.83
"Justin Forsett","BAL",13,59.2,0.3,2.9,15.8,0.1,0.1,12.61," BAL",16,66.8,0.3,3.4,26.6,0.1,13.9,"BAL",16.63,79,0.23,2.89,15,0.05,14.89,"BAL",17.8,79.7,0.6,2.8,18.4,0.1,"0.1",16.2,"BAL","8",13.43,66.75,0.53,2.2,16.24,0.06,13.94
"Knile Davis","KC",5.6,26.3,0.3,1,7.6,0.1,0.1,6.6," KC ",3.9,14.7,0.2,0.9,6.6,0,3.1,"KC",5.96,20,0.35,0.88,8,0.07,4.88," KC",2.9,11.8,0.2,0.6,5.1,0,"0.1",3.4,"KC","46",7.52,30.31,0.15,1.46,11.81,0.06,6.89
"Latavius Murray","OAK",15.6,83.5,0.6,3.3,23.5,0.1,0.1,18," OAK",18,84.1,0.6,2.2,17.1,0.1,15.3,"OAK",14.38,64,0.4,2.96,21,0,14.96,"OAK",15.7,61.8,0.5,2.8,19.9,0.1,"0.2",14.1,"OAK","20",13.76,52.92,0.2,2.85,21.06,0.09,11.91
"Le'Veon Bell","PIT",17.5,54.1,0.6,4.2,44,0.1,0.1,18.03," PIT",17.4,72,0.5,3.8,30.8,0.2,17.8,"PIT",21.54,93,0.81,5.33,48,0.08,30.33,"PIT",20.2,93,0.7,4.7,38.2,0.1,"0.2",22.5,"PIT","1",18.35,81.42,0.51,5.75,48.77,0.24,22.97
"Mark Ingram","NO",13.2,55.6,0.5,3.1,23.4,0.1,0.2,14.21," NO ",13.8,54.1,0.6,2.9,21.8,0.1,13.9,"NO",14.69,62,0.56,3.56,27,0,22.56," NO",13.7,53.7,0.5,3.4,25.4,0.1,"0.2",14.3,"NO","10",13.69,53.89,0.36,3.18,18.22,0.05,12.65
"Matt Forte","CHI",15.3,62.6,0.5,5.1,40.4,0.2,0.1,19.4," CHI",20.2,86.9,0.6,3.7,34.4,0.2,19.4,"CHI",16.19,68,0.31,4.32,37,0.16,19.32,"CHI",17.5,74.9,0.3,4.4,35.4,0.3,"0.2",19,"CHI","3",16.79,74.75,0.31,4.95,39.95,0.18,19.26
"Matt Jones","WAS",10.6,41.7,0.4,1.1,9.6,0,0.3,8.08," WSH",14.2,57.3,0.4,1.3,10.3,0,9.7,"WAS",10.11,43,0.31,1.43,12,0.02,8.43,"WAS",10.3,45.6,0.5,1.9,14.1,0,"0.3",10.3,"WSH","21",11.35,47.51,0.2,2.74,22.28,0.16,11.8
"Melvin Gordon","SD",14.8,61.9,0.4,2.1,16.9,0.1,0.1,12.77," SD ",18.2,82,0.5,1.4,11.3,0.1,13.3,"SD",12.43,50,0.16,2.15,15,0.04,11.15," SD",14.3,57.6,0.3,1.7,14.2,0.1,"0.1",10.7,"SD","19",11.86,43.69,0.25,3.14,25.6,0.1,11.99
"Rashad Jennings","NYG",12.5,47.3,0.2,2.6,17.9,0,0.1,10.11," NYG",9.4,36,0.2,1.8,13.6,0,7.4,"NYG",8.24,29,0.21,1.49,14,0.07,6.49,"NYG",10.6,40.7,0.3,2.1,17,0.1,"0.1",9.8,"NYG","29",10.23,45,0.34,2.02,13.82,0.04,10.07
"Reggie Bush","SF",6.4,32.6,0.2,1.8,13.5,0,0.1,7.36," SF ",4.7,20.4,0.1,2.7,22.5,0.1,7.8,"SFO",5.59,16,0.09,1.57,9,0.03,6.57," SF",4,16.2,0.1,2.2,17.1,0.1,"0.1",6,"SF","59",5.63,19.44,0.05,1.13,6.74,0.03,4.07
"Ronnie Hillman","DEN",10.2,44.2,0.3,1.4,9.4,0.1,0.1,8.98," DEN",10.3,42.9,0.4,0.9,7.5,0,7.1,"DEN",10.1,47,0.32,1.22,8,0.04,8.22,"DEN",11.8,50.6,0.5,1.5,10,0,"0.1",10.4,"DEN","41",8.87,38.34,0.19,1.5,10.59,0,7.39
"Ryan Mathews","PHI",13.3,59.7,0.5,3.7,32.3,0.4,0.4,17.5," PHI",7.6,31,0.2,1.6,12.5,0,6.8,"PHI",7.38,31,0.34,1.24,9,0.13,6.24,"PHI",7,30.9,0.2,1.4,12,0.1,"0.2",7,"PHI","39",9.34,39.53,0.21,1.56,12.43,0.03,8.12
"Shane Vereen","NYG",4.4,17.2,0.1,3.5,31.6,0.1,0.1,9.38," NYG",4.5,18.2,0.1,4.1,39.9,0.2,9.6,"NYG",5.97,23,0.04,2.75,25,0.02,10.75,"NYG",4.9,20.7,0.1,3.2,27.6,0.1,"0.1",9.1,"NYG","36",5,23.72,0.2,2.62,20.02,0.03,8.33
"T.J. Yeldon","JAC",15.4,66.5,0.4,2.6,17,0.1,0.1,13.72," JAX",14.3,56.6,0.4,3,23.8,0.1,12.5,"JAC",15.23,56,0.08,2.24,12,0,11.24,"JAC",16.5,64.7,0.5,2.5,16.5,0.1,"0.1",13.9,"JAC","22",12.4,52.49,0.24,2.62,21.02,0.07,11.67
"Theo Riddick","DET",5.6,16.7,0.1,3.4,28.6,0.2,0.2,9.37," DET",1,3.5,0,4.1,34.7,0.1,7.9,"DET",3.6,14,0.1,3.57,32,0.27,12.57,"DET",2,7.1,0,4,32.2,0.1,"0.1",8.7,"DET","43",2.27,7.5,0.07,3.28,24.73,0.07,7.26
"Thomas Rawls","SEA",15.8,67.5,0.5,2.6,23.2,0.1,0.1,15.11," SEA",13.2,53.2,0.4,0.7,6.2,0,8.2,"SEA",3.81,13,0,0.69,5,0.15,3.69,"SEA",14.4,60.2,0.5,1.7,14.3,0,"0.1",12,"SEA","25",11.1,45.3,0.38,2.3,18.94,0.04,11.24
"Toby Gerhart","JAC",3.1,13.2,0.1,1.2,11.5,0,0.1,4.08," JAX",3.8,15.6,0.1,0.8,6.6,0,2.3,"JAC",5.24,19,0.1,1.14,10,0,5.14,"JAC",2.7,10.9,0.1,0.8,5.7,0,"0.1",2.8,"JAC","57",3.95,15.59,0.07,1.41,10.98,0,4.55
"Todd Gurley","STL",9.1,44.1,0.3,1.3,10,0,0.1,8.32," STL",9.8,42.8,0.2,1.7,13.4,0,8.2,"STL",20,118,1,5,35,0.02,31,"STL",15.4,70.1,0.3,2.2,18.2,0.1,"0.1",13.3,"STL","9",13.06,61.56,0.38,2.41,21.81,0.06,13.17
"Tre Mason","STL",9.1,38,0.2,1.2,10.9,0.1,0.1,7.67," STL",7.7,32.7,0.1,1.3,10.7,0,6.1,"STL",8.99,31,0.11,1.36,10,0.02,6.36,"STL",2.9,12.6,0.1,0.6,5.5,0,"0.1",2.6,"STL","60",4.11,16.8,0.07,0.93,7.59,0.04,3.99
