"name","espn_team","espn_rushatt","espn_rushyd","espn_rushtd","espn_recpts","espn_recyd","espn_rectd","espn_fpts","fft_team","fft_rushatt","fft_rushyd","fft_rushtd","fft_recpts","fft_recyd","fft_rectd","fft_fpts","ffs_team","ffs_rushatt","ffs_rushyd","ffs_rushtd","ffs_recpts","ffs_recyd","ffs_rectd","ffs_fpts"
"De'Anthony Thomas"," KC ",0.6,4.2,0,2.3,17.2,0.1,4.5,"KC",0,0,0,2,20,0,4,NA,NA,NA,NA,NA,NA,NA,NA
"DeAngelo Williams"," PIT",5.6,25.7,0.1,0.8,6.5,0,3.4,NA,NA,NA,NA,NA,NA,NA,NA,"PIT",10,45,0.37,1.21,13,0.03,7.21
"DeMarco Murray"," PHI",15,60.8,0.5,2.8,21.8,0.1,13.9,"PHI",13,50,0,3,20,0,10,NA,NA,NA,NA,NA,NA,NA,NA
"Devonta Freeman"," ATL",13.5,50.9,0.4,3.7,36.1,0.1,14.6,"ATL",15,60,1,3,25,0,17.5,"ATL",8.1,27,0.33,2.35,20,0.04,7.35
"Dexter McCluster"," TEN",4.6,18.5,0.1,2.5,23,0.1,7,"TEN",8,25,0,3,20,0,7.5,"TEN",4.96,19,0.03,1.41,11,0.03,4.41
"Dion Lewis"," NE ",10,40.3,0.3,3.6,32.2,0.2,13.4,"NE",8,35,0,6,40,1,19.5,"NEP",5.44,26,0.17,2.2,28,0.04,7.2
"Doug Martin"," TB ",15.6,62.1,0.3,1.7,13.6,0,10.7,"TB",13,50,0,1,10,0,7,"TBB",12.03,47,0.1,1.4,9,0,7.4
"Duke Johnson Jr."," CLE",11.8,52.6,0.4,1.8,14.9,0.1,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Frank Gore"," IND",16.4,67.8,0.4,2.2,17.8,0.1,12.1,"IND",15,60,1,1,10,0,14,"IND",14.29,65,0.21,1.48,11,0.05,9.48
"Fred Jackson"," SEA",3.7,16.5,0.1,0.8,6.1,0,2.8,"SEA",3,10,0,2,15,0,4.5,"SEA",5.71,20,0.07,2.79,23,0.21,6.79
"Giovani Bernard"," CIN",7.9,31.2,0.2,3.7,29.1,0.1,10.5,"CIN",8,35,0,4,25,0,10,"CIN",10.36,49,0.19,2.89,19,0.06,9.89
"Isaiah Crowell"," CLE",16.8,74.2,0.5,0.9,7,0,10.8,"CLE",19,70,1,3,20,0,18,"CLE",12.84,48,0.56,1.13,10,0.01,13.13
"Jamaal Charles"," KC ",14.3,65.3,0.5,3.9,33.1,0.2,16.9,"KC",18,75,1,4,25,0,20,"KCC",16.98,86,0.68,3.59,27,0.37,20.59
