"name","cbs_team","cbs_rushatt","cbs_rushyd","cbs_rushtd","cbs_recpts","cbs_recyd","cbs_rectd","cbs_fl","cbs_fpts","espn_team","espn_rushatt","espn_rushyd","espn_rushtd","espn_recpts","espn_recyd","espn_rectd","espn_fpts","fft_team","fft_rushatt","fft_rushyd","fft_rushtd","fft_recpts","fft_recyd","fft_rectd","fft_fpts","ffs_team","ffs_rushatt","ffs_rushyd","ffs_rushtd","ffs_recpts","ffs_recyd","ffs_rectd","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"C.J. Spiller","NO",5.2,21.9,0.1,2.8,33,0.2,0.1,7.09," NO ",3,12.2,0.1,4.3,39.3,0.1,4.9,NA,NA,NA,NA,NA,NA,NA,NA,"NO",4.21,14,0.07,2.33,29,0.13,6," NO",4.6,18,0.1,3.5,31.8,0.1,"0.1",6.1,"NO","37",5.14,17.58,0.11,3.33,26.83,0.22,6.16
"Carlos Hyde","SF",14.3,64.8,0.4,1.6,9.9,0,0.1,9.67," SF ",16.3,62.5,0.5,1.7,13.1,0,10,NA,NA,NA,NA,NA,NA,NA,NA,"SFO",13.16,60,0.38,1.45,9,0.04,8," SF",15.8,62.2,0.3,1.6,11.4,0,"0.1",9.3,"SF","11",16.07,65.82,0.33,2.24,14.03,0.04,9.96
"Charcandrick West","KC",4.9,23.6,0.3,1.3,9.6,0.1,0.1,5.52," KC ",4.7,19.8,0.3,1,7.8,0,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," KC",3.7,16.1,0.1,0.9,6.9,0,"0.1",3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charles Sims","TB",6,21.3,0.1,2.5,24.3,0.4,0.1,7.36," TB ",6.3,19.5,0.1,2.7,22.1,0.1,3.8,NA,NA,NA,NA,NA,NA,NA,NA,"TB",7.36,23,0.05,2.47,25,0.25,7," TB",5.5,19.5,0.1,2.7,21.8,0.1,"0.1",5.4,"TB","48",5.92,20.43,0.17,1.38,12.58,0.02,4.3
"Chris Johnson","ARI",14.2,48.1,0.2,2.2,18.9,0.1,0.1,8.3," ARI",14.7,59.7,0.4,0.9,7.6,0.1,7.7,NA,NA,NA,NA,NA,NA,NA,NA,"ARI",12.11,53,0.23,1.05,9,0.01,7,"ARI",14.1,56.5,0.5,1.7,14.2,0.1,"0.1",10,"ARI","18",13.83,47.98,0.28,2.98,22.27,0.11,9.15
"Chris Thompson","WAS",4,17.9,0.2,2.1,18.9,0.2,0.1,5.88," WSH",2.2,9.7,0,2.9,27.1,0.1,2.8,NA,NA,NA,NA,NA,NA,NA,NA,"WAS",2.47,15,0.04,2.14,16,0.18,5,"WAS",2.5,10.4,0,2.6,19.8,0.1,"0.1",3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christine Michael","DAL",4.6,18.5,0.1,0.9,6.3,0,0.1,2.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",3.7,14.7,0.1,0.7,5.5,0,"0.1",2.4,"DAL","54",3.78,15,0.1,1.34,12,0.02,3.4
"Cierre Wood","BUF",6.1,24.1,0.2,1.1,8.9,0,0.1,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF",4.9,19.1,0.1,1.1,8.3,0,"0.1",3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dan Herron","BUF",3.6,15.3,0.1,0.9,7.5,0,0.1,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","35",8.64,33.6,0.14,3.34,24.68,0.04,6.7
"Danny Woodhead","SD",6.1,26.8,0.3,3.2,32.6,0.1,0.1,8.14," SD ",9,36.8,0.2,3.3,30.5,0.2,8.1,NA,NA,NA,NA,NA,NA,NA,NA,"SD",6.59,26,0.22,2.94,29,0.06,9," SD",8.7,34.1,0.2,3.7,31.8,0.1,"0.1",8.5,"SD","13",11.71,43.95,0.26,2.88,29.64,0.18,9.75
