"name","numfire_dkcost","cbs_fpts","espn_fpts","ffs_fpts","fftoday_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","rank","best","worst","avg","sd","Ceiling","Floor","Tier"
"James Jones",5700,8.12,8.62,13.72,17.5,15.88,14.01,13.1,13,3.8,23,20,44,29.5,4.3,16.8,9.2,2
"Eric Decker",5300,11.1,11.33,7.64,19,11.45,13.08,11.4,12.3,3.7,24,10,31,19.5,4.3,16,8.6,2
"Kendall Wright",5100,9.12,10.44,10.3,19,10.74,12.32,10.7,12,3.6,25,15,45,31,5.4,15.6,8.4,2
"Willie Snead",4500,10.78,9.55,11.1,19,10.44,10.59,10.8,11.9,3.5,26,18,46,33.3,5.2,15.4,8.4,2
"Michael Crabtree",4700,8.46,12.68,9.58,18.5,10.68,9.5,10.7,11.6,3.7,27,14,49,28.9,6.9,15.3,7.9,2
"Donte Moncrief",5500,7.79,11.9,7.36,17.5,10.31,12.31,11.1,11.2,3.7,28,15,46,27.1,5.5,14.9,7.5,3
"Golden Tate",5000,10.17,10.69,14.05,10,10.18,11.7,10.8,11.1,1.6,29,14,41,27.7,5.5,12.7,9.5,3
"Travis Benjamin",5300,8.23,9.7,12.04,13,10.4,13.29,11.2,11.1,2,30,18,47,30.3,4.7,13.1,9.1,3
"Rishard Matthews",4300,6.83,9.2,9.68,19,9.52,10.41,9.7,10.8,4.2,31,18,40,28.9,4.2,15,6.6,3
"Mike Wallace",4200,10.08,9.31,9.4,16.5,9.26,9.69,9.7,10.7,2.9,32,32,65,42.5,4.6,13.6,7.8,3
"Dez Bryant",8000,9.53,12.12,8.07,11.5,9,12.47,10.5,10.4,1.8,33,3,68,35.1,10.5,12.2,8.6,3
"Anquan Boldin",4400,9.86,12.29,7.68,10.5,10.08,9.99,10,10.1,1.5,34,25,56,37.1,5.5,11.6,8.6,3
"Doug Baldwin",3500,9.75,8.04,8.32,17,8.71,8.83,8.9,10.1,3.4,35,38,65,48.7,3.8,13.5,6.7,3
"John Brown",5800,7.28,10.47,8.77,9.5,9.94,14.58,9.7,10.1,2.5,36,14,67,28.3,8.6,12.6,7.6,3
"Nate Washington",3600,9.94,9.76,8.72,11.5,9.96,10.38,10,10,0.9,37,21,58,38.2,6.2,10.9,9.1,3
"Malcom Floyd",3500,7.02,8.45,9.21,16,7.84,8.3,8.4,9.5,3.3,38,26,70,53,6.8,12.8,6.2,3
"Michael Floyd",3500,6.75,7.32,6.53,18,8.38,9.47,8.1,9.4,4.3,39,20,56,37.3,6.3,13.7,5.1,3
"Rueben Randle",4200,7.29,9.54,9.17,9.5,8.98,10.2,9.3,9.1,1,40,33,61,43.8,4.5,10.1,8.1,3
