"name","cbs_team","cbs_recpts","cbs_yd","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"Anquan Boldin","SF",4,52.8,0.4,0,11.67," SF ",4.6,56.5,0.3,11.1,"SFO",5.12,60,0.43,11.12," SF",0,0,0,5,61.2,0.5,"0.0",13.9,"SF","29",0.02,0.02,0,4.27,56,0.3,11.71
"Antonio Brown","PIT",6.6,89.8,0.6,0.1,18.98," PIT",6.4,83,0.5,17.5,"PIT",4.7,60,0.52,16.7,"PIT",0.2,0.9,0,5.8,76.3,0.5,"0.1",16.6,"PIT","18",0.05,-0.12,0,4.74,71,0.45,14.43
"Bennie Fowler","DEN",1.3,15.5,0.1,0,3.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEN",0,0,0,1.3,15.3,0.1,"0.0",3.5,"DEN","75",0,0,0,1.46,19.17,0.16,4.32
"Brandin Cooks","NO",6.3,76.3,0.3,0,15.73," NO ",4.7,64.4,0.3,12.8,"NO",6,75,0.39,14," NO",0.3,1.8,0,5.8,71.1,0.5,"0.0",16.3,"NO","19",0.08,0.37,0,4.79,57.2,0.46,13.35
"Brandon Coleman","NO",3.1,38,0.4,0,9.26," NO ",2.3,37,0.2,6.7,"NO",1.41,19,0.04,3.41," NO",0,0,0,2.2,30.7,0.2,"0.0",6.3,"NO","86",0,0,0,1.31,18.33,0.1,3.7
"Brandon Marshall","NYJ",5.6,75.8,0.6,0.1,16.58," NYJ",5.8,68.4,0.5,14.7,"NYJ",6.04,76,0.6,20.04,"NYJ",0,0,0,6.3,81.6,0.7,"0.1",18.4,"NYJ","13",0.02,0.09,0,5.64,72.5,0.43,15.48
"Brian Hartline","CLE",3.1,50.6,0.1,0,8.73," CLE",2.7,36.6,0.2,6.6,"CLE",1.9,25,0.07,4.9,"CLE",0,0,0,2.3,30.8,0.1,"0.0",5.9,"CLE","54",0,0,0,2.2,34.04,0.13,6.38
"Brian Quick","STL",1.8,27.3,0.2,0,5.77," STL",2.1,29.5,0.1,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bruce Ellington","SF",1.1,16,0.4,0,5.14," SF ",0.9,12.8,0.1,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calvin Johnson","DET",5.7,67.7,0.4,0,14.87," DET",5.3,74.6,0.4,14.8,"DET",6.28,87,0.53,21.28,"DET",0,0,0,5.7,77.4,0.6,"0.1",17.1,"DET","5",0,0,0,6.26,77.65,0.46,16.91
