"name","cbs_team","cbs_recpts","cbs_yd","cbs_avg","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","fftoday_team","fft_recpts","fft_yd","fft_td","fft_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts"
"Bryan Walters","JAC",0,0,0,0,0,0," JAX",1,11.6,0,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calvin Johnson","DET",5.4,67.7,12.5,0.6,0,15.77," DET",5.7,83.6,0.6,17.5,NA,NA,NA,NA,NA,"DET",4.85,72,0.55,17.85
"Cameron Meredith","CHI",0,0,0,0,0,0," CHI",1.1,13.9,0.1,2.5,NA,NA,NA,NA,NA,"CHI",0.55,6,0,1.55
"Cecil Shorts","HOU",3.3,39.2,12,0.1,0.1,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOU",4.93,47,0.08,9.93
"Charles Johnson","MIN",3,41.4,14,0.2,0,8.29," MIN",3.3,47.8,0.3,9.1,NA,NA,NA,NA,NA,"MIN",3.32,45,0.23,8.32
"Chris Conley","KC",0,0.5,12.3,0,0,0.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KCC",0,0,0,0
"Chris Givens","STL",0.1,1.6,18.3,0,0,0.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL",0.82,13,0.07,1.82
"Chris Harper","NE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYG",0,0,0,0
"Chris Hogan","BUF",1.7,20.4,11.7,0.2,0.1,4.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF",1.99,21,0.17,3.99
"Chris Matthews","SEA",1.7,26.9,15.5,0.2,0,5.62," SEA",0.5,7,0.1,0.9,NA,NA,NA,NA,NA,"SEA",0.62,8,0.01,1.62
"Cody Latimer","DEN",0,0.3,12,0,0,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEN",2.16,22,0.06,4.16
"Cole Beasley","DAL",3.9,45.9,11.7,0.3,0.2,9.91," DAL",3,31.1,0.2,7.2,NA,NA,NA,NA,NA,"DAL",2.87,35,0.32,6.87
"Cordarrelle Patterson","MIN",1.4,15.4,11.2,0.1,0.1,3.32," MIN",0.6,7.4,0,1,NA,NA,NA,NA,NA,"MIN",1.47,14,0.07,3.47
"Corey Brown","CAR",1.8,29.3,16.3,0.3,0,6.53," CAR",2.3,32.4,0.2,6.5,NA,NA,NA,NA,NA,"CAR",3.96,54,0.66,15.96
"Corey Fuller","DET",1.9,20.3,10.7,0.1,0.2,4.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET",0,0,0,0
"Danny Amendola","NE",3.7,41.3,11.1,0.4,0,10.26," NE ",2.2,22.5,0.2,5.3,NA,NA,NA,NA,NA,"NEP",3.42,36,0.19,7.42
"Darren Waller","BAL",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",0.01,0,0,0.01
"Darrius Heyward-Bey","PIT",2.4,29.3,12.3,0.2,0.2,6.12," PIT",3.1,48.4,0.3,8.9,NA,NA,NA,NA,NA,"PIT",2.59,32,0.19,5.59
"Davante Adams","GB",4.5,59.7,13.3,0.4,0,12.86," GB ",3.6,52.3,0.4,10.9,NA,NA,NA,NA,NA,"GBP",4.98,66,0.29,11.98
"De'Andre Presley","CAR",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"De'Anthony Thomas","KC",1.5,16.1,11,0.1,0,3.67," KC ",2.3,17.2,0.1,4.5,NA,NA,NA,NA,NA,"KCC",1.57,12,0,3.57
"DeAndre Hopkins","HOU",6.4,92,14.4,0.7,0.1,19.6," HOU",5.4,78.6,0.4,14.7,NA,NA,NA,NA,NA,"HOU",5.8,78,0.48,13.8
"DeAndrew White","SF",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFO",0.1,1,0,0.1
"Demaryius Thomas","DEN",7.4,96.2,13,0.6,0.1,20.42," DEN",6.9,89.1,0.6,18.8,NA,NA,NA,NA,NA,"DEN",7.7,106,0.76,24.7
"DeVante Parker","MIA",1.8,20.9,11.7,0.1,0,4.47," MIA",0.9,12.7,0.1,2.3,NA,NA,NA,NA,NA,"MIA",2.21,20,0.05,4.21
"Devin Funchess","CAR",2.6,38.9,15.1,0.3,0,8.26," CAR",2.6,33.2,0.3,7.2,NA,NA,NA,NA,NA,"CAR",1.71,21,0.02,3.71
"Devin Smith","NYJ",1.3,22.3,16.6,0.1,0,4.17," NYJ",2.5,34.7,0.2,6.7,NA,NA,NA,NA,NA,"NYJ",0.04,0,0,0.04
"Devin Street","DAL",2.2,31.7,14.5,0.2,0,6.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",1.98,27,0.01,4.98
"Donte Moncrief","IND",3.5,43.1,12.3,0.4,0,10.21," IND",4.2,54.8,0.4,11.9,NA,NA,NA,NA,NA,"IND",2.35,30,0.24,5.35
"Dontrelle Inman","SD",0.1,1.4,12.3,0,0,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SDC",0.43,7,0,1.43
"Dorial Green-Beckham","TEN",1.6,26.7,17.2,0.4,0,6.62," TEN",0.9,13,0.1,2.6,NA,NA,NA,NA,NA,"TEN",0.29,4,0.21,0.29
"Doug Baldwin","SEA",4.3,60.1,14,0.5,0.1,13.1," SEA",4.1,55.8,0.3,11,NA,NA,NA,NA,NA,"SEA",5.21,65,0.35,12.21
"Dwayne Bowe","CLE",0.1,2.1,16.9,0,0,0.334," CLE",1.2,15.6,0.1,2.6,NA,NA,NA,NA,NA,"CLE",0,0,0,0
"Dwayne Harris","NYG",2.7,36.4,13.4,0.2,0.2,7.15," NYG",2.3,30.8,0.2,6.6,NA,NA,NA,NA,NA,"NYG",0.67,8,0.04,1.67
"Eddie Royal","CHI",5.7,51.2,9,0.4,0.2,12.82," CHI",4.5,54.3,0.2,10.8,NA,NA,NA,NA,NA,"CHI",3.51,47,0.36,8.51
"Emmanuel Sanders","DEN",6.5,78.5,12.1,0.5,0,17.35," DEN",6.2,86.3,0.5,17.2,NA,NA,NA,NA,NA,"DEN",7.09,85,0.66,22.09
"Eric Weems","ATL",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATL",0.97,9,0.12,1.97
"Frankie Hammond","KC",0,0.4,10.2,0,0,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KCC",0,0,0,0
