"name","numfire_dkcost","cbs_fpts","espn_fpts","ffs_fpts","fftoday_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","rank","best","worst","avg","sd","Ceiling","Floor","Tier"
"Shane Vereen",4300,8.83,8.4,7.94,NA,8.69,7.14,8.3,8.2,0.6,20,16,39,23.6,5.4,8.8,7.6,2
"Jonathan Stewart",4000,7.61,8.28,7.2,NA,8.34,8.933,8.1,8.1,0.6,21,12,33,23.1,5.6,8.7,7.5,2
"Duke Johnson",4200,7.83,NA,6.99,NA,9.12,7.555,7.8,7.9,0.8,22,18,42,27.6,7,8.7,7.1,2
"Alfred Morris",3300,9.07,8.93,7.14,NA,6.66,7.265,7.9,7.8,1,23,21,48,29.1,6.3,8.8,6.8,2
"C.J. Spiller",3300,8.52,9.32,7.41,NA,7.06,4.629,7.4,7.4,1.6,24,26,52,37.6,6.2,9,5.8,1
"Denard Robinson",3000,14.41,8.4,6.79,NA,3.68,4.13,6.8,7.4,3.9,25,37,56,44.1,5.1,11.3,3.5,1
"Darren Sproles",3800,8.29,7.24,6.35,NA,7.12,6.537,7.1,7.1,0.7,26,30,49,38.8,4.1,7.8,6.4,1
"Bilal Powell",3300,9.34,7.3,6.33,NA,6.54,5.581,6.8,7,1.3,27,52,59,56,2.9,8.3,5.7,1
"Chris Thompson",3300,7.23,9.25,4.49,NA,7.1,6.369,6.9,6.9,1.5,28,11,39,28.1,6.2,8.4,5.4,1
"Andre Ellington",4300,8.9,6.69,7.08,NA,6.18,5.041,6.7,6.8,1.3,29,15,50,35.6,7.6,8.1,5.5,1
"Theo Riddick",3400,4.39,8.47,4.09,NA,8.34,8.458,6.4,6.7,2.1,30,16,45,26.3,8,8.8,4.6,1
"Isaiah Crowell",3800,7.76,5.84,6.42,NA,6.46,6.165,6.4,6.5,0.7,31,28,52,37.9,7.6,7.2,5.8,1
"Antonio Andrews",3300,5.82,5.66,3.37,NA,7.02,8.392,5.9,6,1.7,32,18,44,31.3,8.5,7.7,4.3,1
"Ryan Mathews",3200,8.31,4.05,5.18,NA,5.72,5.789,5.7,5.8,1.4,33,20,51,33.4,7.8,7.2,4.4,1
"Knile Davis",4000,5.33,4.79,7,NA,5.15,6.245,5.7,5.7,0.8,34,26,49,40.1,7,6.5,4.9,1
"Bishop Sankey",3400,6.8,5.87,3.36,NA,5.87,5.72,5.8,5.6,1.2,35,37,55,45.9,4.1,6.8,4.4,1
"Dexter McCluster",3200,5.5,5.44,4.52,NA,6.14,6.069,5.5,5.5,0.6,36,36,53,43.9,5.2,6.1,4.9,1
"David Johnson",3500,5.41,4.35,3.93,NA,4.66,5.663,4.8,4.8,0.6,37,37,51,43.8,3.6,5.4,4.2,1
"Tevin Coleman",3600,5.13,4.97,3.5,NA,4.42,5.115,4.8,4.7,0.6,38,39,55,46.5,4.2,5.3,4.1,1
"Ahmad Bradshaw",3000,5.04,2.79,5.9,NA,4.98,4.108,4.6,4.6,1.1,39,38,64,47.7,6.2,5.7,3.5,1
"Javorius Allen",3500,5.77,7.11,2.43,NA,4.25,3.548,4.7,4.6,1.6,40,41,55,49.9,3.7,6.2,3,1
